Unique_genetic_barco.1e,Months_since_start_of_biopile,DMF,Conductivity_soil_uS_cm_water,pH_soil_water,mg_N_NO2_soil_water_ex,mg_N_NO3_soil_water_ex,mg_N_NH4_soil_water_ex,Depth_m,Dist_from_East_(centre),Total_area_in_range_C8_to_C10_(NEPM_2017),Total_area_in_range_>C10_to_C16_(NEPM_2017),Total_area_in_range_>C16_to_C34_(NEPM_2017),Total_area_in_range_>C34_to_C40_(NEPM_2017),Total_area_in_range_>C10_to_C40_(total),AOB26_log10_copies/g,Nspra_log10_copies/g,ratio_Ntspra:AOB26
136654,36,0.925891069,330,8.6,57.4,29,208.1948061,0.4,5.5,1.320019557,313.6114469,123.7417261,21.34622308,458.6993961,7.506070153,6.14757036,0.043802632
136623,36,0.936,353,7.6,62.6,28.1,212.563811,0,5.5,1.933157241,429.3487073,128.9810955,22.09685329,580.4266561,7.821982597,6.143651803,0.020973418
136635,36,0.941,313,7.7,51.1,24.8,190.9576808,0.9,8.7,0.953810464,396.0735184,148.9513003,24.66137884,569.6861976,7.635406621,6.246198251,0.040812353
136643,36,0.929,266,7.2,75.1,23.5,121.1444695,0.5,8.7,0.25816057,313.0777277,147.127483,24.33229908,484.5375098,7.778934115,6.185912551,0.025525746
136615,36,0.923044482,302,7.9,99.4,23.6,127.2484433,0,8.7,2.795931563,260.0131119,156.2719379,27.16387273,443.4489225,7.808453913,6.122565037,0.020611572
168786,60,0.959,330,7.8,160,25,152.36148,0,5.1,10,120,130,100,250,7.347690364,6.209436673,0.07273548
168787,60,0.936,220,8.1,5,5,95.62261581,0.57,5.1,10,270,180,100,450,7.43416527,5.997199764,0.036562383
168789,60,0.937,320,8.6,54,33,218.46053,0.86,5.1,10,280,120,100,400,7.265480448,6.000974775,0.054386903
168790,60,0.934,220,8.4,36,25,122.795579,1.28,5.1,10,300,140,100,440,7.031193852,6.032367413,0.100270588
168791,60,0.946,400,7.7,180,24,180.0539737,0,11.3,20,140,100,100,178,7.613603052,6.252594561,0.043550336
168792,60,0.943,280,7.9,120,8.2,101.7078642,0.42,11.3,10,220,130,100,350,7.86607751,6.545016711,0.047746243
168793,60,0.926,170,8.1,50,16,115.8701156,0.74,11.3,10,290,210,100,500,7.55291558,6.104812857,0.035636683
168794,60,0.911,180,7.8,20,32,143.735286,1.05,11.3,10,810,180,100,990,7.287135688,6.255980703,0.093077565
168796,60,0.933,240,8.1,94,36,125.1311414,0.5,16,10,660,120,100,780,7.445568872,5.904007671,0.028736826
168797,60,0.922,250,8.5,47,19,194.962584,0.9,16,10,570,190,100,760,7.63144715,6.403483481,0.059161112
168798,60,0.85,140,7.8,6.7,43,49.0671996,1.4,16,10,170,100,100,170,6.593715471,6.062522998,0.2943117
