Unique_genetic_barco.1e,Months_since_start_of_biopile,DMF,Conductivity_soil_uS_cm_water,pH_soil_water,mg_N_NO2_soil_water_ex,mg_N_NO3_soil_water_ex,mg_N_NH4_soil_water_ex,Borate_Method_NH4_as_N_mg/kg,Kjeldahl_Nitrogen_Total_mg/kg,mg_P_soil_Bicarb_ex,Depth_m,Dist_from_East_(centre),Total_area_in_range_C8_to_C10_(NEPM_2017),Total_area_in_range_>C10_to_C16_(NEPM_2017),Total_area_in_range_>C16_to_C34_(NEPM_2017),Total_area_in_range_>C34_to_C40_(NEPM_2017),Total_area_in_range_>C10_to_C40_(total),AOB26_log10_copies/g,Nspra_log10_copies/g,ratio_Ntspra:AOB26
136654.1,36,0.925891069,330,8.6,57.4,29,208.1948061,660,1450,,0.4,5.5,2.296788485,285.1064607,121.6386756,26.42220723,433.1673436,7.506070153,6.14757036,0.043802632
136623,36,0.936,353,7.6,62.6,28.1,212.563811,540,,,0,5.5,1.933157241,429.3487073,128.9810955,22.09685329,580.4266561,7.821982597,6.143651803,0.020973418
136631,36,0.905984252,,,41.93822299,,206.4883216,,,,1.3,8.7,2.060106499,404.6472683,171.6000109,31.71142436,607.9587035,7.586088274,6.233054801,0.044357445
136635,36,0.941,313,7.7,51.1,24.8,190.9576808,500,,,0.9,8.7,0.953810464,396.0735184,148.9513003,24.66137884,569.6861976,7.635406621,6.246198251,0.040812353
136635.1,36,0.941,313,7.7,51.1,24.8,190.9576808,500,,,0.9,8.7,0.953810464,396.0735184,148.9513003,24.66137884,569.6861976,7.635406621,6.246198251,0.040812353
136643,36,0.929,266,7.2,75.1,23.5,121.1444695,420,,,0.5,8.7,0.25816057,313.0777277,147.127483,24.33229908,484.5375098,7.778934115,6.185912551,0.025525746
136615,36,0.923044482,302,7.9,99.4,23.6,127.2484433,560,1300,437,0,8.7,2.795931563,260.0131119,156.2719379,27.16387273,443.4489225,7.808453913,6.122565037,0.020611572
136615.1,36,0.923044482,329,7.9,108,27,127.2484433,420,1300,411,0,8.7,3.018765173,200.2860441,123.4921388,22.24601791,346.0242008,7.808453913,6.122565037,0.020611572
136658,36,0.892733357,,,74.76342711,,182.9565086,,,,1.2,15.6,2.621116548,256.7504647,111.4867465,19.40232405,387.6395352,7.380293723,6.032893162,0.04493652
136658.1,36,0.892733357,,,74.76342711,,182.9565086,,,,1.2,15.6,2.870322992,283.3791462,119.751233,21.04856916,424.1789483,7.380293723,6.032893162,0.04493652
136607,36,0.903650154,,,51.52786113,,167.6803863,,,,0.8,15.6,2.983597384,409.6424615,148.0475802,27.24666748,584.9367092,7.595593085,6.149015787,0.035762074
136611,36,0.923512071,,,24.06199901,,133.2799124,,,,0.4,15.6,3.424201444,408.0734264,136.2015999,25.22445792,569.4994842,7.584822523,6.194731904,0.040729528
136627,36,0.91394641,,,84.31914525,,174.3770576,,,,0,15.6,2.575861569,346.973397,110.5215889,20.54858784,478.0435737,7.796560722,6.145005042,0.022307162
168786,60,0.959,330,7.8,160,25,152.36148,810,1100,,0,5.1,10,120,130,100,250,7.347690364,6.209436673,0.07273548
168787,60,0.936,220,8.1,5,5,95.62261581,650,1200,,0.57,5.1,10,270,180,100,450,7.43416527,5.997199764,0.036562383
168787.1,60,0.936,220,8.1,5,5,95.62261581,650,1200,,0.57,5.1,10,270,180,100,450,7.595208483,6.414632155,0.065981726
168789,60,0.937,320,8.6,54,33,218.46053,540,1500,,0.86,5.1,10,280,120,100,400,7.265480448,6.000974775,0.054386903
168790,60,0.934,220,8.4,36,25,122.795579,680,920,,1.28,5.1,10,300,140,100,440,7.031193852,6.032367413,0.100270588
168791,60,0.946,400,7.7,180,24,180.0539737,720,1100,,0,11.3,20,140,100,100,178,7.613603052,6.252594561,0.043550336
168791.1,60,0.946,400,7.7,180,24,180.0539737,720,1100,,0,11.3,20,140,100,100,178,7.978309071,6.721478383,0.055356588
168792,60,0.943,280,7.9,120,8.2,101.7078642,640,1100,,0.42,11.3,10,220,130,100,350,7.86607751,6.545016711,0.047746243
168792.1,60,0.943,280,7.9,120,8.2,101.7078642,640,1100,,0.42,11.3,10,240,150,100,390,7.86607751,6.545016711,0.047746243
168793,60,0.926,170,8.1,50,16,115.8701156,950,1200,,0.74,11.3,10,290,210,100,500,7.55291558,6.104812857,0.035636683
168793.1,60,0.926,170,8.1,50,16,115.8701156,950,1200,,0.74,11.3,10,290,210,100,500,7.88155799,6.572395006,0.049072368
168794,60,0.911,180,7.8,20,32,143.735286,200,670,,1.05,11.3,10,810,180,100,990,7.287135688,6.255980703,0.093077565
168794.1,60,0.911,180,7.8,20,32,143.735286,200,670,,1.05,11.3,10,810,180,100,990,7.65263063,6.736793958,0.121384526
168796,60,0.933,240,8.1,94,36,125.1311414,610,1000,,0.5,16,10,660,120,100,780,7.445568872,5.904007671,0.028736826
168796.1,60,0.937,250,8.2,110,51,125.1311414,650,1200,,0.5,16,10,660,120,100,780,7.445568872,5.904007671,0.028736826
168797,60,0.922,250,8.5,47,19,194.962584,710,980,,0.9,16,10,570,190,100,760,7.63144715,6.403483481,0.059161112
168798,60,0.85,140,7.8,6.7,43,49.0671996,260,520,,1.4,16,10,170,100,100,170,6.593715471,6.062522998,0.2943117
168798.1,60,0.85,140,7.8,6.7,43,49.0671996,260,520,,1.4,16,10,170,100,100,170,7.000122258,6.457171952,0.286450572
