Barcode,Months,Nitrite,Nitrifier,copies,log10copies
133913,24,0.9,AOB,,
133913,24,0.9,Nitrospira,,
116031,0,1,AOB,,
116031,0,1,Nitrospira,,
116032,0,1,AOB,,
116032,0,1,Nitrospira,,
116033,0,1,AOB,,
116033,0,1,Nitrospira,,
116034,0,1,AOB,,
116034,0,1,Nitrospira,,
116038,0,1,AOB,,
116038,0,1,Nitrospira,,
116039,0,1,AOB,,
116039,0,1,Nitrospira,,
116040,0,1,AOB,,
116040,0,1,Nitrospira,,
116041,0,1,AOB,,
116041,0,1,Nitrospira,,
116617,12,1,AOB,,
116617,12,1,Nitrospira,,
116664,0,1,AOB,,
116664,0,1,Nitrospira,,
116666,0,1,AOB,,
116666,0,1,Nitrospira,,
116668,0,1,AOB,,
116668,0,1,Nitrospira,,
116669,0,1,AOB,,
116669,0,1,Nitrospira,,
116672,0,1,AOB,,
116672,0,1,Nitrospira,,
116673,0,1,AOB,,
116673,0,1,Nitrospira,,
116674,0,1,AOB,,
116674,0,1,Nitrospira,,
116675,0,1,AOB,,
116675,0,1,Nitrospira,,
116678,0,1,AOB,,
116678,0,1,Nitrospira,,
116700,0,1,AOB,,
116700,0,1,Nitrospira,,
116701,0,1,AOB,,
116701,0,1,Nitrospira,,
116702,0,1,AOB,,
116702,0,1,Nitrospira,,
116703,0,1,AOB,,
116703,0,1,Nitrospira,,
116704,0,1,AOB,,
116704,0,1,Nitrospira,,
116706,0,1,AOB,,
116706,0,1,Nitrospira,,
116715,0,1,AOB,,
116715,0,1,Nitrospira,,
116716.2,0,1,AOB,,
116716.2,0,1,Nitrospira,,
116717,0,1,AOB,,
116717,0,1,Nitrospira,,
116721,0,1,AOB,,
116721,0,1,Nitrospira,,
116725,0,1,AOB,,
116725,0,1,Nitrospira,,
116729,0,1,AOB,,
116729,0,1,Nitrospira,,
116730,0,1,AOB,,
116730,0,1,Nitrospira,,
116732,0,1,AOB,,
116732,0,1,Nitrospira,,
116733,0,1,AOB,,
116733,0,1,Nitrospira,,
116734,0,1,AOB,,
116734,0,1,Nitrospira,,
123481,10,1,AOB,,
123481,10,1,Nitrospira,,
123839,12,1,AOB,,
123839,12,1,Nitrospira,,
123890,12,1,AOB,,
123890,12,1,Nitrospira,,
123928,12,1,AOB,,
123928,12,1,Nitrospira,,
133608,21,1,AOB,,
133608,21,1,Nitrospira,,
136605,12,1,AOB,,
