Sample,Treatment,Temperature,Weeks,Nitrifier,copies
N7_39,Water,7,3,Nitrobacter,5.332908968
N7_13,Water,7,6,AOB,6.311107768
N7_13,Water,7,6,Nitrospira,6.892867361
N7_13,Water,7,6,Nitrobacter,5.507293534
N7_25,Water,7,6,AOB,6.000316321
N7_25,Water,7,6,Nitrospira,6.432520142
N7_25,Water,7,6,Nitrobacter,5.305661333
N7_9,Water,7,6,AOB,6.096956073
N7_9,Water,7,6,Nitrospira,6.498320863
N7_9,Water,7,6,Nitrobacter,5.217936395
N7_19,Water,7,9,AOB,5.38792246
N7_19,Water,7,9,Nitrospira,5.828882434
N7_19,Water,7,9,Nitrobacter,4.134963075
N7_22,Water,7,9,AOB,5.609291232
N7_22,Water,7,9,Nitrospira,6.061361952
N7_22,Water,7,9,Nitrobacter,4.471930536
N7_6,Water,7,9,AOB,5.503810954
N7_6,Water,7,9,Nitrospira,5.67635046
N7_6,Water,7,9,Nitrobacter,4.290874095
N15_17,Water,15,3,AOB,6.083138111
N15_17,Water,15,3,Nitrospira,6.463130251
N15_17,Water,15,3,Nitrobacter,5.520020101
N15_18,Water,15,3,AOB,6.011330234
N15_18,Water,15,3,Nitrospira,6.441541391
N15_18,Water,15,3,Nitrobacter,5.329465964
N15_9,Water,15,3,AOB,6.019005333
N15_9,Water,15,3,Nitrospira,6.468388519
N15_9,Water,15,3,Nitrobacter,5.376156067
N15_13,Water,15,6,AOB,6.43315598
N15_13,Water,15,6,Nitrospira,6.762686209
N15_13,Water,15,6,Nitrobacter,5.467918135
N15_31,Water,15,6,AOB,6.328352712
N15_31,Water,15,6,Nitrospira,6.694403772
N15_31,Water,15,6,Nitrobacter,5.646491374
N15_7,Water,15,6,AOB,6.325849137
N15_7,Water,15,6,Nitrospira,6.658425235
N15_7,Water,15,6,Nitrobacter,5.614461456
N15_25,Water,15,9,AOB,6.181684965
N15_25,Water,15,9,Nitrospira,6.641998103
N15_25,Water,15,9,Nitrobacter,5.702712764
N15_4,Water,15,9,AOB,6.541819992
N15_4,Water,15,9,Nitrospira,6.621404357
N15_4,Water,15,9,Nitrobacter,5.652232106
N15_8,Water,15,9,AOB,6.247233939
N15_8,Water,15,9,Nitrospira,6.682327331
N15_8,Water,15,9,Nitrobacter,5.708774896
N7_12,Water,15,0,AOB,5.442761284
N7_12,Water,15,0,Nitrospira,6.053860438
N7_12,Water,15,0,Nitrobacter,4.373695851
N7_20,Water,15,0,AOB,5.307164394
N7_20,Water,15,0,Nitrospira,5.87414064
N7_20,Water,15,0,Nitrobacter,3.790552808
N7_7,Water,15,0,AOB,5.143929983
N7_7,Water,15,0,Nitrospira,5.92369107
N7_7,Water,15,0,Nitrobacter,3.814945627
N7_12,DAP,7,0,AOB,5.442761284
N7_12,DAP,7,0,Nitrospira,6.053860438
N7_12,DAP,7,0,Nitrobacter,4.373695851
N7_20,DAP,7,0,AOB,5.307164394
N7_20,DAP,7,0,Nitrospira,5.87414064
N7_20,DAP,7,0,Nitrobacter,3.790552808
N7_7,DAP,7,0,AOB,5.143929983
N7_7,DAP,7,0,Nitrospira,5.92369107
N7_7,DAP,7,0,Nitrobacter,3.814945627
N7_12,DAP,15,0,AOB,5.442761284
N7_12,DAP,15,0,Nitrospira,6.053860438
N7_12,DAP,15,0,Nitrobacter,4.373695851
N7_20,DAP,15,0,AOB,5.307164394
N7_20,DAP,15,0,Nitrospira,5.87414064
N7_20,DAP,15,0,Nitrobacter,3.790552808
N7_7,DAP,15,0,AOB,5.143929983
N7_7,DAP,15,0,Nitrospira,5.92369107
N7_7,DAP,15,0,Nitrobacter,3.814945627
N7_12,Urea,7,0,AOB,5.442761284
N7_12,Urea,7,0,Nitrospira,6.053860438
N7_12,Urea,7,0,Nitrobacter,4.373695851
N7_20,Urea,7,0,AOB,5.307164394
N7_20,Urea,7,0,Nitrospira,5.87414064
N7_20,Urea,7,0,Nitrobacter,3.790552808
N7_7,Urea,7,0,AOB,5.143929983
N7_7,Urea,7,0,Nitrospira,5.92369107
N7_7,Urea,7,0,Nitrobacter,3.814945627
N7_12,Urea,15,0,AOB,5.442761284
N7_12,Urea,15,0,Nitrospira,6.053860438
N7_12,Urea,15,0,Nitrobacter,4.373695851
N7_20,Urea,15,0,AOB,5.307164394
N7_20,Urea,15,0,Nitrospira,5.87414064
N7_20,Urea,15,0,Nitrobacter,3.790552808
N7_7,Urea,15,0,AOB,5.143929983
N7_7,Urea,15,0,Nitrospira,5.92369107
N7_7,Urea,15,0,Nitrobacter,3.814945627
