Sample,AOB,Nitrospira,Nitrobacter,Treatment,Temperature,Experiment,Weeks
N15_1,6.391575348,6.501983614,5.68501081,Urea,15,Microcosm,3
N15_20,6.449103032,6.42881278,5.530553718,Urea,15,Microcosm,3
N15_23,6.394371382,6.393976979,5.497387287,Urea,15,Microcosm,3
N15_2,7.413298477,6.719509119,6.291062854,Urea,15,Microcosm,6
N15_26,7.537008934,6.689094097,6.299311362,Urea,15,Microcosm,6
N15_3,7.391645053,6.759446984,6.202491729,Urea,15,Microcosm,6
N15_10,6.682321637,5.96060533,5.378795376,Urea,15,Microcosm,9
N15_15,6.684025871,5.96272063,5.158128114,Urea,15,Microcosm,9
N15_16,6.576140711,5.90885341,5.248607502,Urea,15,Microcosm,9
N7_12,5.442761284,6.053860438,4.373695851,Water,7,Microcosm,0
N7_20,5.307164394,5.87414064,3.790552808,Water,7,Microcosm,0
N7_7,5.143929983,5.92369107,3.814945627,Water,7,Microcosm,0
N7_15,6.088574758,6.355324392,5.244977637,Water,7,Microcosm,3
N7_2,6.046918994,6.457469311,5.251223382,Water,7,Microcosm,3
N7_39,5.971456381,6.457697516,5.332908968,Water,7,Microcosm,3
N7_13,6.311107768,6.892867361,5.507293534,Water,7,Microcosm,6
N7_25,6.000316321,6.432520142,5.305661333,Water,7,Microcosm,6
N7_9,6.096956073,6.498320863,5.217936395,Water,7,Microcosm,6
N7_19,5.38792246,5.828882434,4.134963075,Water,7,Microcosm,9
N7_22,5.609291232,6.061361952,4.471930536,Water,7,Microcosm,9
N7_6,5.503810954,5.67635046,4.290874095,Water,7,Microcosm,9
N15_17,6.083138111,6.463130251,5.520020101,Water,15,Microcosm,3
N15_18,6.011330234,6.441541391,5.329465964,Water,15,Microcosm,3
N15_9,6.019005333,6.468388519,5.376156067,Water,15,Microcosm,3
N15_13,6.43315598,6.762686209,5.467918135,Water,15,Microcosm,6
N15_31,6.328352712,6.694403772,5.646491374,Water,15,Microcosm,6
N15_7,6.325849137,6.658425235,5.614461456,Water,15,Microcosm,6
N15_25,6.181684965,6.641998103,5.702712764,Water,15,Microcosm,9
N15_4,6.541819992,6.621404357,5.652232106,Water,15,Microcosm,9
N15_8,6.247233939,6.682327331,5.708774896,Water,15,Microcosm,9
